id,supl_iata,start,end,supplier,iata,value,currency,per_volume,supl_iata_1,value_per_usdc
172,AEG-VLC,2020-01-04,2021-03-31,AEG,VLC,2.1386,USD,gallion.USG.UGL,,213.85999999999999
173,AEG-VOG,2023-06-09,2024-03-31,AEG,VOG,2.8932,USD,gallion.USG.UGL,,289.32000000000005
174,AEG-VOZ,2021-01-04,2021-01-04,AEG,VOZ,737,USD,mTon,,223.18742901536314
175,AEG-WOE,2023-03-28,2024-03-31,AEG,WOE,2.2075,EUR,litter.L,,767.4071562594324
176,AEG-WRO,2023-03-21,2024-03-31,AEG,WRO,3.761776,USD,gallion.USG.UGL,,376.1776
177,AEG-WVB,2020-06-19,2021-03-31,AEG,WVB,1.546,USD,gallion.USG.UGL,,154.6
178,AEG-YHZ,2020-05-21,2020-05-21,AEG,YHZ,0.9117,USD,gallion.USG.UGL,,91.17
179,AEG-ZAZ,2020-01-04,2021-03-31,AEG,ZAZ,2.2378,USD,gallion.USG.UGL,,223.78
180,AEG-ZNZ,2023-01-10,2024-03-31,AEG,ZNZ,5.1645,USD,gallion.USG.UGL,,516.45
181,Air BP-AER,2020-01-04,2021-03-31,Air BP,AER,290,USDC,gallion.USG.UGL,,266.3238130223161
182,Air BP-KRR,2020-01-04,2021-03-31,Air BP,KRR,280,USDC,gallion.USG.UGL,,257.1402332629259
183,Air BP-CMF,2021-01-09,2022-03-31,Air BP,CMF,287.54,USDC,gallion.USG.UGL,,264.0646524015061
184,Air BP-TLV,2021-01-04,2022-03-31,Air BP,TLV,171.15,USDC,gallion.USG.UGL,,157.17696758196345
185,Air BP-LUX,2022-12-27,2022-12-27,Air BP,LUX,298.76754,USDC,gallion.USG.UGL,,274.3755533106805
186,WF LB-KSC,2023-01-08,2024-03-31,WF,KSC,5.49653,USD,gallion.USG.UGL,,549.653
187,Airport KSC-KSC,2023-06-09,2024-03-31,Airport KSC,KSC,1.29974,EUR,litter.L,,451.8368186983622
188,Aerport sciac-SLD,2021-03-31,2021-03-31,Aerport sciac,SLD,1219.61,EUR,mTon,,339.18389290005484
189,Aurora-ABJ,2020-11-05,2021-03-31,Aurora,ABJ,1.3058,EUR,gallion.USG.UGL,,119.91918449811737
190,Aurora-ABV,2020-01-06,2021-03-31,Aurora,ABV,1.6677,USD,gallion.USG.UGL,,166.76999999999998
191,Aurora-ABZ,2020-09-04,2021-03-31,Aurora,ABZ,1.51,USD,gallion.USG.UGL,,151.0
192,Aurora-ADD,2020-05-21,2021-03-31,Aurora,ADD,2.62,USD,gallion.USG.UGL,,262.0
193,Aurora-AER,2021-01-04,2022-03-31,Aurora,AER,630,USD,mTon,,190.78436944325477
194,Aurora-ALA,2020-01-11,2020-01-11,Aurora,ALA,865,USD,mTon,,261.94996756891334
195,Aurora-AMM,2020-01-10,2021-03-31,Aurora,AMM,1.676,USD,gallion.USG.UGL,,167.6
196,Aurora-ANR,2020-06-19,2021-03-31,Aurora,ANR,2.82,USD,gallion.USG.UGL,,282.0
197,Aurora-AQJ,2020-01-04,2021-03-31,Aurora,AQJ,247.73,USDC,gallion.USG.UGL,,227.50482137937368
198,Aurora-ASB,2020-01-04,2021-03-31,Aurora,ASB,585.7,USD,mTon,,177.36889711573704
199,Aurora-AUH,2020-04-15,2021-03-31,Aurora,AUH,0.97,USD,gallion.USG.UGL,,97.0
200,Aurora-BGI,2020-05-19,2021-03-31,Aurora,BGI,1.8838,USD,gallion.USG.UGL,,188.38
201,Aurora-BGR,2020-05-19,2021-03-31,Aurora,BGR,1.4482,USD,gallion.USG.UGL,,144.82
202,Aurora-BRQ,2020-08-09,2021-03-31,Aurora,BRQ,3.2475,USD,gallion.USG.UGL,,324.75
203,Aurora-BVA,2020-07-25,2021-03-31,Aurora,BVA,1.507,USD,gallion.USG.UGL,,150.7
204,Aurora-CAI,2021-01-04,2022-03-31,Aurora,CAI,183,USDC,gallion.USG.UGL,,168.05950959684085
205,Aurora-CLJ,2020-04-13,2021-03-31,Aurora,CLJ,1.35,USD,gallion.USG.UGL,,135.0
206,Aurora-CMN,2020-09-16,2021-03-31,Aurora,CMN,1.8762,USD,gallion.USG.UGL,,187.62
207,Aurora-CRL,2020-06-19,2021-03-31,Aurora,CRL,1.23,USD,gallion.USG.UGL,,123.0
208,Aurora-CWL,2020-07-13,2020-07-13,Aurora,CWL,1.5025,USD,gallion.USG.UGL,,150.25
209,Aurora-DNK,2021-01-04,2022-03-31,Aurora,DNK,195,USD,mTon,,59.0523048276741
210,Aurora-DOH,2020-01-08,2021-03-31,Aurora,DOH,1.1,USD,gallion.USG.UGL,,110.00000000000001
211,Aurora-GLA,2020-07-04,2021-03-31,Aurora,GLA,1.29,USD,gallion.USG.UGL,,129.0
212,Aurora-GYD,2020-04-09,2021-03-31,Aurora,GYD,809.5,USD,mTon,,245.1427731179599
213,Aurora-HEL,2020-07-30,2021-03-31,Aurora,HEL,1.67,USD,gallion.USG.UGL,,167.0
214,Aurora-HHN,2020-04-13,2020-04-13,Aurora,HHN,1.065,USD,gallion.USG.UGL,,106.5
215,Aurora-HMB,2020-09-28,2020-09-28,Aurora,HMB,2.0264,USD,gallion.USG.UGL,,202.64000000000001
216,Aurora-HRE,2020-01-04,2020-01-04,Aurora,HRE,363.4,USDC,gallion.USG.UGL,,333.73128845624024
217,Aurora-HRG,2021-01-04,2021-01-04,Aurora,HRG,213.65,USDC,gallion.USG.UGL,,196.20718155937183
218,Aurora-HRK,2021-01-04,2021-01-04,Aurora,HRK,260,USD,mTon,,78.7364064368988
219,Aurora-JNB,2020-05-21,2020-05-21,Aurora,JNB,0.77,USD,gallion.USG.UGL,,77.0
220,Aurora-KBL,2020-06-23,2021-03-31,Aurora,KBL,3.2576,USD,gallion.USG.UGL,,325.76
221,Aurora-KBP,2020-01-04,2021-03-31,Aurora,KBP,745,USD,mTon,,225.61008767496003
222,Aurora-KDH,2020-04-15,2021-03-31,Aurora,KDH,4.199,USD,gallion.USG.UGL,,419.9
223,Aurora-KGD,2020-06-19,2021-03-31,Aurora,KGD,657,USD,mTon,,198.96084241939428
224,Aurora-KRK,2020-01-04,2021-03-31,Aurora,KRK,2.3,EUR,gallion.USG.UGL,,211.22233446597482
225,Aurora-KRR,2021-01-04,2022-03-31,Aurora,KRR,587,USD,MTON,,
226,Aurora-KUF,2021-01-04,2022-03-31,Aurora,KUF,595,USD,mTon,,180.1852378075184
227,Aurora-KVA,2020-05-21,2021-03-31,Aurora,KVA,1.2685,USD,gallion.USG.UGL,,126.85
228,Aurora-KZN,2021-01-04,2022-03-31,Aurora,KZN,566,USD,mTon,,171.4031001664797
