id,supl_iata,start,end,platts,value,period,unnamed__6,unnamed__7
270,HNWE  USDC.UGLPW,2018-09-18,2018-09-24,HNWE  USDC.UGL,219.12,PW,,
271,HROTT  USDC.UGLPW,2018-09-18,2018-09-24,HROTT  USDC.UGL,218.13,PW,,
272,MOPAGPW,2018-09-18,2018-09-24,MOPAG,212.66,PW,,
273,MOPAGPW,2018-09-18,2018-09-24,MOPAG,212.81,PW,,
274,ARAB GULF FOB HIGH PRIORPW,2018-09-25,2018-01-10,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
275,EGPCPW,2018-09-25,2018-01-10,EGPC,252,PW,,
276,FOB MED  USDC.UGLPW,2018-09-25,2018-01-10,FOB MED  USDC.UGL,215.57,PW,,
277,HNWE  USDC.UGLPW,2018-09-25,2018-01-10,HNWE  USDC.UGL,219.27,PW,,
278,HROTT  USDC.UGLPW,2018-09-25,2018-01-10,HROTT  USDC.UGL,217.86,PW,,
279,MOPAGPW,2018-09-25,2018-01-10,MOPAG,212.78,PW,,
280,ARAB GULF FOB HIGH PRIORPM,2018-01-10,2018-10-30,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
281,ARAB GULF FOB HIGH PRIORPM,2018-01-10,2018-10-31,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
282,CIF MED USDC.UGL1/2M,2018-01-10,2018-10-15,CIF MED USDC.UGL,223.4,1/2M,,
283,EGPC1/2M,2018-01-10,2018-10-15,EGPC,303.23,1/2M,,
284,FOB MED  USDC.UGL1/2M,2018-01-10,2018-10-15,FOB MED  USDC.UGL,219.92,1/2M,,
285,FOB MED  USDC.UGLPM,2018-01-10,2018-10-30,FOB MED  USDC.UGL,217.58,PM,,
286,FOB MED  USDC.UGLPM,2018-01-10,2018-10-31,FOB MED  USDC.UGL,217.58,PM,,
287,HNWE  USDC.UGL1/2M,2018-01-10,2018-10-15,HNWE  USDC.UGL,223.79,1/2M,,
288,HNWE  USDC.UGLPM,2018-01-10,2018-10-31,HNWE  USDC.UGL,221.45,PM,,
289,HROTT  USDC.UGLPM,2018-01-10,2018-10-30,HROTT  USDC.UGL,220.62,PM,,
290,HROTT  USDC.UGLPM,2018-01-10,2018-10-31,HROTT  USDC.UGL,220.62,PM,,
291,ISRAELI GOVT USDC.USGPM,2018-01-10,2018-10-30,ISRAELI GOVT USDC.USG,235.56,PM,,
292,ISRAELI GOVT USDC.USGPM,2018-01-10,2018-10-31,ISRAELI GOVT USDC.USG,235.56,PM,,
293,LukOIL FOB MED1/2M,2018-01-10,2018-10-15,LukOIL FOB MED,726.2,1/2M,,
294,MOPAGPM,2018-01-10,2018-10-30,MOPAG,214.34,PM,,
295,MOPAGPM,2018-01-10,2018-10-31,MOPAG,214.34,PM,,
296,ARAB GULF FOB HIGH PRIORPW,2018-09-10,2018-10-15,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
297,EGPCPW,2018-09-10,2018-10-15,EGPC,259,PW,,
298,EGPCPW,2018-09-10,2018-10-15,EGPC,252,PW,,
299,FOB MED  USDC.UGLPW,2018-09-10,2018-10-15,FOB MED  USDC.UGL,234.35,PW,,
300,HNWE  USDC.UGLPW,2018-09-10,2018-10-15,HNWE  USDC.UGL,239.09,PW,,
301,HROTT  USDC.UGLPW,2018-09-10,2018-10-15,HROTT  USDC.UGL,238.35,PW,,
302,MOPAGPW,2018-09-10,2018-10-15,MOPAG,218.9,PW,,
303,ARAB GULF FOB HIGH PRIORPW,2018-10-16,2018-10-22,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
304,CIF MED USDC.UGL1/2M,2018-10-16,2018-10-30,CIF MED USDC.UGL,236.14,1/2M,,
305,CIF MED USDC.UGL1/2M,2018-10-16,2018-10-31,CIF MED USDC.UGL,236.14,1/2M,,
306,EGPCPW,2018-10-16,2018-10-22,EGPC,266,PW,,
307,EGPC1/2M,2018-10-16,2018-10-30,EGPC,310.23,1/2M,,
308,EGPC1/2M,2018-10-16,2018-10-31,EGPC,310.23,1/2M,,
309,FOB MED  USDC.UGLPW,2018-10-16,2018-10-22,FOB MED  USDC.UGL,230.11,PW,,
310,FOB MED  USDC.UGL1/2M,2018-10-16,2018-10-30,FOB MED  USDC.UGL,231.19,1/2M,,
311,FOB MED  USDC.UGL1/2M,2018-10-16,2018-10-31,FOB MED  USDC.UGL,231.19,1/2M,,
312,HNWE  USDC.UGLPW,2018-10-16,2018-10-22,HNWE  USDC.UGL,235.07,PW,,
313,HNWE  USDC.UGL1/2M,2018-10-16,2018-10-30,HNWE  USDC.UGL,236.51,1/2M,,
314,HNWE  USDC.UGL1/2M,2018-10-16,2018-10-31,HNWE  USDC.UGL,236.51,1/2M,,
315,HROTT  USDC.UGLPW,2018-10-16,2018-10-22,HROTT  USDC.UGL,234.65,PW,,
316,LukOIL FOB MED1/2M,2018-10-16,2018-10-30,LukOIL FOB MED,763.43,1/2M,,
317,LukOIL FOB MED1/2M,2018-10-16,2018-10-31,LukOIL FOB MED,763.43,1/2M,,
318,MOPAGPW,2018-10-16,2018-10-22,MOPAG,225.98,PW,,
319,ARAB GULF FOB HIGH PRIORPW,2018-10-23,2018-10-29,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
320,EGPCPW,2018-10-23,2018-10-29,EGPC,266,PW,,
321,FOB MED  USDC.UGLPW,2018-10-23,2018-10-29,FOB MED  USDC.UGL,225.82,PW,,
322,HNWE  USDC.UGLPW,2018-10-23,2018-10-29,HNWE  USDC.UGL,230.74,PW,,
323,HROTT  USDC.UGLPW,2018-10-23,2018-10-29,HROTT  USDC.UGL,229.56,PW,,
324,MOPAGPW,2018-10-23,2018-10-29,MOPAG,220.71,PW,,
325,ARAB GULF FOB HIGH PRIORPW,2018-10-30,2018-05-11,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
326,EGPCPW,2018-10-30,2018-05-11,EGPC,266,PW,,
327,FOB MED  USDC.UGLPW,2018-10-30,2018-05-11,FOB MED  USDC.UGL,222.69,PW,,
328,HNWE  USDC.UGLPW,2018-10-30,2018-05-11,HNWE  USDC.UGL,227.49,PW,,
329,HROTT  USDC.UGLPW,2018-10-30,2018-05-11,HROTT  USDC.UGL,227.47,PW,,
330,MOPAGPW,2018-10-30,2018-05-11,MOPAG,220.71,PW,,
331,ARAB GULF FOB HIGH PRIORPM,2018-01-11,2018-11-30,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
332,CIF MED USDC.UGL1/2M,2018-01-11,2018-11-15,CIF MED USDC.UGL,212.68,1/2M,,
333,CIF MED USDC.UGL1/2M,2018-01-11,2018-11-15,CIF MED USDC.UGL,227.65,1/2M,,
334,EGPC1/2M,2018-01-11,2018-11-15,EGPC,310.23,1/2M,,
335,FOB MED  USDC.UGL1/2M,2018-01-11,2018-11-15,FOB MED  USDC.UGL,208.27,1/2M,,
336,FOB MED  USDC.UGL1/2M,2018-01-11,2018-11-15,FOB MED  USDC.UGL,223.4,1/2M,,
337,FOB MED  USDC.UGLPM,2018-01-11,2018-11-30,FOB MED  USDC.UGL,227.24,PM,,
338,HNWE  USDC.UGL1/2M,2018-01-11,2018-11-15,HNWE  USDC.UGL,212.89,1/2M,,
339,HNWE  USDC.UGL1/2M,2018-01-11,2018-11-15,HNWE  USDC.UGL,228.03,1/2M,,
340,HNWE  USDC.UGLPM,2018-01-11,2018-11-30,HNWE  USDC.UGL,232.09,PM,,
341,HROTT  USDC.UGLPM,2018-01-11,2018-11-30,HROTT  USDC.UGL,231.74,PM,,
342,ISRAELI GOVT USDC.USGPM,2018-01-11,2018-11-30,ISRAELI GOVT USDC.USG,237.31,PM,,
343,LukOIL FOB MED1/2M,2018-01-11,2018-11-15,LukOIL FOB MED,687.75,1/2M,,
344,LukOIL FOB MED1/2M,2018-01-11,2018-11-15,LukOIL FOB MED,737.7,1/2M,,
345,MOPAGPM,2018-01-11,2018-11-30,MOPAG,227.65,PM,,
346,MOPAGPM,2018-01-11,2018-11-30,MOPAG,222.13,PM,,
347,ARAB GULF FOB HIGH PRIORPW,2018-06-11,2018-12-11,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
348,EGPCPW,2018-06-11,2018-12-11,EGPC,261,PW,,
349,FOB MED  USDC.UGLPW,2018-06-11,2018-12-11,FOB MED  USDC.UGL,216.81,PW,,
350,HNWE  USDC.UGLPW,2018-06-11,2018-12-11,HNWE  USDC.UGL,221.6,PW,,
351,HROTT  USDC.UGLPW,2018-06-11,2018-12-11,HROTT  USDC.UGL,222.73,PW,,
352,MOPAGPW,2018-06-11,2018-12-11,MOPAG,217.6,PW,,
353,ARAB GULF FOB HIGH PRIORPW,2018-11-13,2018-11-19,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
354,EGPCPW,2018-11-13,2018-11-19,EGPC,255,PW,,
355,EGPCPW,2018-11-13,2018-11-19,EGPC,261,PW,,
356,FOB MED  USDC.UGLPW,2018-11-13,2018-11-19,FOB MED  USDC.UGL,210.55,PW,,
357,HNWE  USDC.UGLPW,2018-11-13,2018-11-19,HNWE  USDC.UGL,215.47,PW,,
358,HROTT  USDC.UGLPW,2018-11-13,2018-11-19,HROTT  USDC.UGL,215.15,PW,,
359,MOPAGPW,2018-11-13,2018-11-19,MOPAG,204.73,PW,,
360,CIF MED USDC.UGL1/2M,2018-11-16,2018-11-30,CIF MED USDC.UGL,212.68,1/2M,,
361,EGPC1/2M,2018-11-16,2018-11-30,EGPC,293.65,1/2M,,
362,FOB MED  USDC.UGL1/2M,2018-11-16,2018-11-30,FOB MED  USDC.UGL,208.27,1/2M,,
363,HNWE  USDC.UGL1/2M,2018-11-16,2018-11-30,HNWE  USDC.UGL,212.89,1/2M,,
364,LukOIL FOB MED1/2M,2018-11-16,2018-11-30,LukOIL FOB MED,687.75,1/2M,,
365,ARAB GULF FOB HIGH PRIORPW,2018-11-27,2018-03-12,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
366,EGPCPW,2018-11-27,2018-03-12,EGPC,249,PW,,
367,FOB MED  USDC.UGLPW,2018-11-27,2018-03-12,FOB MED  USDC.UGL,191.18,PW,,
368,HNWE  USDC.UGLPW,2018-11-27,2018-03-12,HNWE  USDC.UGL,196.6,PW,,
369,HROTT  USDC.UGLPW,2018-11-27,2018-03-12,HROTT  USDC.UGL,195.83,PW,,
370,MOPAGPW,2018-11-27,2018-03-12,MOPAG,187.83,PW,,
371,MOPAGPW,2018-11-27,2018-03-12,MOPAG,199.46,PW,,
372,ARAB GULF FOB HIGH PRIORPM,2018-01-12,2018-12-31,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
373,CIF MED USDC.UGL1/2M,2018-01-12,2018-12-15,CIF MED USDC.UGL,191.83,1/2M,,
374,EGPC1/2M,2018-01-12,2018-12-15,EGPC,280.65,1/2M,,
375,FOB MED  USDC.UGL1/2M,2018-01-12,2018-12-15,FOB MED  USDC.UGL,187.81,1/2M,,
376,FOB MED  USDC.UGLPM,2018-01-12,2018-12-31,FOB MED  USDC.UGL,197.36,PM,,
377,HNWE  USDC.UGL1/2M,2018-01-12,2018-12-15,HNWE  USDC.UGL,192.16,1/2M,,
378,HNWE  USDC.UGLPM,2018-01-12,2018-12-31,HNWE  USDC.UGL,202.66,PM,,
379,HROTT  USDC.UGLPM,2018-01-12,2018-12-31,HROTT  USDC.UGL,202.15,PM,,
380,ISRAELI GOVT USDC.USGPM,2018-01-12,2018-12-31,ISRAELI GOVT USDC.USG,198.04,PM,,
381,LukOIL FOB MED1/2M,2018-01-12,2018-12-15,LukOIL FOB MED,620.17,1/2M,,
382,MOPAGPM,2018-01-12,2018-12-31,MOPAG,192.87,PM,,
383,ARAB GULF FOB HIGH PRIORPW,2018-04-12,2018-10-12,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
384,EGPCPW,2018-04-12,2018-10-12,EGPC,249,PW,,
385,FOB MED  USDC.UGLPW,2018-04-12,2018-10-12,FOB MED  USDC.UGL,179.22,PW,,
386,HNWE  USDC.UGLPW,2018-04-12,2018-10-12,HNWE  USDC.UGL,185.08,PW,,
387,HROTT  USDC.UGLPW,2018-04-12,2018-10-12,HROTT  USDC.UGL,183.99,PW,,
388,MOPAGPW,2018-04-12,2018-10-12,MOPAG,174.8,PW,,
389,ARAB GULF FOB HIGH PRIORPW,2018-11-12,2018-12-17,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
390,EGPCPW,2018-11-12,2018-12-17,EGPC,249,PW,,
391,FOB MED  USDC.UGLPW,2018-11-12,2018-12-17,FOB MED  USDC.UGL,180,PW,,
392,HNWE  USDC.UGLPW,2018-11-12,2018-12-17,HNWE  USDC.UGL,186.65,PW,,
393,HROTT  USDC.UGLPW,2018-11-12,2018-12-17,HROTT  USDC.UGL,185.39,PW,,
394,MOPAGPW,2018-11-12,2018-12-17,MOPAG,174.8,PW,,
395,CIF MED USDC.UGL1/2M,2018-12-16,2018-12-31,CIF MED USDC.UGL,185.09,1/2M,,
396,EGPC1/2M,2018-12-16,2018-12-31,EGPC,280.65,1/2M,,
397,FOB MED  USDC.UGL1/2M,2018-12-16,2018-12-31,FOB MED  USDC.UGL,178.38,1/2M,,
398,HNWE  USDC.UGL1/2M,2018-12-16,2018-12-31,HNWE  USDC.UGL,185.42,1/2M,,
399,LukOIL FOB MED1/2M,2018-12-16,2018-12-31,LukOIL FOB MED,589.03,1/2M,,
400,ARAB GULF FOB HIGH PRIORPW,2018-12-18,2018-12-24,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
401,EGPCPW,2018-12-18,2018-12-24,EGPC,226.3,PW,,
402,FOB MED  USDC.UGLPW,2018-12-18,2018-12-24,FOB MED  USDC.UGL,177.37,PW,,
403,HNWE  USDC.UGLPW,2018-12-18,2018-12-24,HNWE  USDC.UGL,184.35,PW,,
404,HROTT  USDC.UGLPW,2018-12-18,2018-12-24,HROTT  USDC.UGL,182.18,PW,,
405,MOPAGPW,2018-12-18,2018-12-24,MOPAG,168.01,PW,,
406,ARAB GULF FOB HIGH PRIORPW,2019-01-01,2019-07-01,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
407,ARAB GULF FOB HIGH PRIORPM,2019-01-01,2019-01-31,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
408,CIF MED USDC.UGL1/2M,2019-01-01,2019-01-15,CIF MED USDC.UGL,171.3,1/2M,,
409,EGPCPW,2019-01-01,2019-07-01,EGPC,223,PW,,
410,EGPCPW,2019-01-01,2019-07-01,EGPC,229,PW,,
411,EGPC1/2M,2019-01-01,2019-01-15,EGPC,255.65,1/2M,,
412,FOB MED  USDC.UGLPW,2019-01-01,2019-07-01,FOB MED  USDC.UGL,157.82,PW,,
413,FOB MED  USDC.UGLPW,2019-01-01,2019-07-01,FOB MED  USDC.UGL,167.21,PW,,
414,FOB MED  USDC.UGL1/2M,2019-01-01,2019-01-15,FOB MED  USDC.UGL,162.32,1/2M,,
415,FOB MED  USDC.UGLPM,2019-01-01,2019-01-31,FOB MED  USDC.UGL,172.85,PM,,
416,FOB MED  USDC.UGLPW,2019-01-01,2019-07-01,FOB MED  USDC.UGL,157.81,PW,,
417,FOB MED  USDC.UGLPM,2019-01-01,2019-01-31,FOB MED  USDC.UGL,172.85,PM,,
418,HNWE  USDC.UGLPW,2019-01-01,2019-07-01,HNWE  USDC.UGL,164.86,PW,,
419,HNWE  USDC.UGL1/2M,2019-01-01,2019-01-15,HNWE  USDC.UGL,171.64,1/2M,,
420,HNWE  USDC.UGLPM,2019-01-01,2019-01-31,HNWE  USDC.UGL,179.83,PM,,
421,HROTT  USDC.UGLPW,2019-01-01,2019-07-01,HROTT  USDC.UGL,163.3,PW,,
422,HROTT  USDC.UGLPW,2019-01-01,2019-07-01,HROTT  USDC.UGL,163.3,PW,,
423,HROTT  USDC.UGLPM,2019-01-01,2019-01-31,HROTT  USDC.UGL,178.08,PM,,
424,ISRAELI GOVT USDC.USGPM,2019-01-01,2019-01-31,ISRAELI GOVT USDC.USG,177.75,PM,,
425,LukOIL FOB MED1/2M,2019-01-01,2019-01-15,LukOIL FOB MED,536,1/2M,,
426,MOPAGPW,2019-01-01,2019-07-01,MOPAG,149.67,PW,,
427,MOPAGPW,2019-01-01,2019-07-01,MOPAG,159.78,PW,,
428,MOPAGPM,2019-01-01,2019-01-31,MOPAG,163.08,PM,,
429,FOB MED  USDC.UGLPW,2019-08-01,2019-01-14,FOB MED  USDC.UGL,164.08,PW,,
430,HNWE  USDC.UGLPW,2019-08-01,2019-01-14,HNWE  USDC.UGL,171.15,PW,,
431,HROTT  USDC.UGLPW,2019-08-01,2019-01-14,HROTT  USDC.UGL,168.6,PW,,
432,ARAB GULF FOB HIGH PRIORPW,2019-01-15,2019-01-21,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
433,EGPCPW,2019-01-15,2019-01-21,EGPC,211,PW,,
434,EGPCPW,2019-01-15,2019-01-21,EGPC,223,PW,,
435,FOB MED  USDC.UGLPW,2019-01-15,2019-01-21,FOB MED  USDC.UGL,176.32,PW,,
436,HNWE  USDC.UGLPW,2019-01-15,2019-01-21,HNWE  USDC.UGL,183.46,PW,,
437,HROTT  USDC.UGLPW,2019-01-15,2019-01-21,HROTT  USDC.UGL,180.82,PW,,
438,MOPAGPW,2019-01-15,2019-01-21,MOPAG,165.4,PW,,
439,MOPAGPW,2019-01-15,2019-01-21,MOPAG,151.59,PW,,
440,CIF MED USDC.UGL1/2M,2019-01-16,2019-01-31,CIF MED USDC.UGL,171.3,1/2M,,
441,EGPC1/2M,2019-01-16,2019-01-31,EGPC,252.65,1/2M,,
442,EGPC1/2M,2019-01-16,2019-01-31,EGPC,255.65,1/2M,,
443,FOB MED  USDC.UGL1/2M,2019-01-16,2019-01-31,FOB MED  USDC.UGL,171.66,1/2M,,
444,FOB MED  USDC.UGL1/2M,2019-01-16,2019-01-31,FOB MED  USDC.UGL,162.32,1/2M,,
445,HNWE  USDC.UGL1/2M,2019-01-16,2019-01-31,HNWE  USDC.UGL,179.7,1/2M,,
446,HNWE  USDC.UGL1/2M,2019-01-16,2019-01-31,HNWE  USDC.UGL,171.64,1/2M,,
447,LukOIL FOB MED1/2M,2019-01-16,2019-01-31,LukOIL FOB MED,566.85,1/2M,,
448,LukOIL FOB MED1/2M,2019-01-16,2019-01-31,LukOIL FOB MED,536,1/2M,,
449,FOB MED  USDC.UGLPW,2019-01-22,2019-01-28,FOB MED  USDC.UGL,177.66,PW,,
450,HNWE  USDC.UGLPW,2019-01-22,2019-01-28,HNWE  USDC.UGL,184.27,PW,,
451,HROTT  USDC.UGLPW,2019-01-22,2019-01-28,HROTT  USDC.UGL,182.38,PW,,
452,ARAB GULF FOB HIGH PRIORPW,2019-01-29,2019-04-02,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
453,EGPCPW,2019-01-29,2019-04-02,EGPC,208,PW,,
454,FOB MED  USDC.UGLPW,2019-01-29,2019-04-02,FOB MED  USDC.UGL,178.25,PW,,
455,FOB MED  USDC.UGLPW,2019-01-29,2019-04-02,FOB MED  USDC.UGL,183.02,PW,,
456,HNWE  USDC.UGLPW,2019-01-29,2019-04-02,HNWE  USDC.UGL,184.27,PW,,
457,HROTT  USDC.UGLPW,2019-01-29,2019-04-02,HROTT  USDC.UGL,183.02,PW,,
458,HROTT  USDC.UGLPW,2019-01-29,2019-04-02,HROTT  USDC.UGL,178.25,PW,,
459,MOPAGPW,2019-01-29,2019-04-02,MOPAG,165.4,PW,,
460,ARAB GULF FOB HIGH PRIORPM,2019-01-02,2019-02-28,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
461,FOB MED  USDC.UGLPM,2019-01-02,2019-02-28,FOB MED  USDC.UGL,175.91,PM,,
462,FOB MED  USDC.UGL1/2M,2019-01-02,2019-02-15,FOB MED  USDC.UGL,178.64,1/2M,,
463,FOB MED  USDC.UGLPM,2019-01-02,2019-02-28,FOB MED  USDC.UGL,175.91,PM,,
464,HNWE  USDC.UGLPM,2019-01-02,2019-02-28,HNWE  USDC.UGL,182.48,PM,,
465,HNWE  USDC.UGL1/2M,2019-01-02,2019-02-15,HNWE  USDC.UGL,186.97,1/2M,,
466,HROTT  USDC.UGLPM,2019-01-02,2019-02-28,HROTT  USDC.UGL,180.62,PM,,
467,ISRAELI GOVT USDC.USGPM,2019-01-02,2019-02-28,ISRAELI GOVT USDC.USG,192.61,PM,,
468,MOPAGPM,2019-01-02,2019-02-28,MOPAG,164.98,PM,,
469,FOB MED  USDC.UGLPW,2019-05-02,2019-11-02,FOB MED  USDC.UGL,179.23,PW,,
470,HNWE  USDC.UGLPW,2019-05-02,2019-11-02,HNWE  USDC.UGL,185.29,PW,,
471,HROTT  USDC.UGLPW,2019-05-02,2019-11-02,HROTT  USDC.UGL,184.24,PW,,
472,FOB MED  USDC.UGLPW,2019-12-02,2019-02-18,FOB MED  USDC.UGL,180.05,PW,,
473,HNWE  USDC.UGLPW,2019-12-02,2019-02-18,HNWE  USDC.UGL,185.88,PW,,
474,HROTT  USDC.UGLPW,2019-12-02,2019-02-18,HROTT  USDC.UGL,185.12,PW,,
475,CIF MED USDC.UGL1/2M,2019-02-16,2019-02-28,CIF MED USDC.UGL,179.36,1/2M,,
476,EGPC1/2M,2019-02-16,2019-02-28,EGPC,260.65,1/2M,,
477,FOB MED  USDC.UGL1/2M,2019-02-16,2019-02-28,FOB MED  USDC.UGL,181.12,1/2M,,
478,HNWE  USDC.UGL1/2M,2019-02-16,2019-02-28,HNWE  USDC.UGL,187.41,1/2M,,
479,LukOIL FOB MED1/2M,2019-02-16,2019-02-28,LukOIL FOB MED,598.07,1/2M,,
480,ARAB GULF FOB HIGH PRIORPW,2019-02-19,2019-02-25,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
481,EGPCPW,2019-02-19,2019-02-25,EGPC,216,PW,,
482,FOB MED  USDC.UGLPW,2019-02-19,2019-02-25,FOB MED  USDC.UGL,183.84,PW,,
483,HNWE  USDC.UGLPW,2019-02-19,2019-02-25,HNWE  USDC.UGL,189.5,PW,,
484,HROTT  USDC.UGLPW,2019-02-19,2019-02-25,HROTT  USDC.UGL,189.3,PW,,
485,MOPAGPW,2019-02-19,2019-02-25,MOPAG,174.51,PW,,
486,FOB MED  USDC.UGLPW,2019-02-26,2019-04-03,FOB MED  USDC.UGL,190.57,PW,,
487,HNWE  USDC.UGLPW,2019-02-26,2019-04-03,HNWE  USDC.UGL,196.74,PW,,
488,HROTT  USDC.UGLPW,2019-02-26,2019-04-03,HROTT  USDC.UGL,196.18,PW,,
489,ARAB GULF FOB HIGH PRIORPM,2019-01-03,2019-03-31,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
490,CIF MED USDC.UGL1/2M,2019-01-03,2019-03-15,CIF MED USDC.UGL,195.75,1/2M,,
491,EGPC1/2M,2019-01-03,2019-03-15,EGPC,260.65,1/2M,,
492,EGPC1/2M,2019-01-03,2019-03-15,EGPC,268.65,1/2M,,
493,FOB MED  USDC.UGL1/2M,2019-01-03,2019-03-15,FOB MED  USDC.UGL,190.03,1/2M,,
494,FOB MED  USDC.UGLPM,2019-01-03,2019-03-31,FOB MED  USDC.UGL,185.39,PM,,
495,HNWE  USDC.UGL1/2M,2019-01-03,2019-03-15,HNWE  USDC.UGL,195.93,1/2M,,
496,HNWE  USDC.UGLPM,2019-01-03,2019-03-31,HNWE  USDC.UGL,191.39,PM,,
497,HROTT  USDC.UGLPM,2019-01-03,2019-03-31,HROTT  USDC.UGL,190.71,PM,,
498,ISRAELI GOVT USDC.USGPM,2019-01-03,2019-03-31,ISRAELI GOVT USDC.USG,204.65,PM,,
499,LukOIL FOB MED1/2M,2019-01-03,2019-03-15,LukOIL FOB MED,627.5,1/2M,,
500,MOPAGPM,2019-01-03,2019-03-31,MOPAG,180.64,PM,,
501,ARAB GULF FOB HIGH PRIORPW,2019-05-03,2019-11-03,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
502,EGPCPW,2019-05-03,2019-11-03,EGPC,224,PW,,
503,FOB MED  USDC.UGLPW,2019-05-03,2019-11-03,FOB MED  USDC.UGL,188.91,PW,,
504,HNWE  USDC.UGLPW,2019-05-03,2019-03-11,HNWE  USDC.UGL,195.27,PW,,
505,HROTT  USDC.UGLPW,2019-05-03,2019-03-11,HROTT  USDC.UGL,194.09,PW,,
506,MOPAGPW,2019-05-03,2019-03-11,MOPAG,186.28,PW,,
507,ARAB GULF FOB HIGH PRIORPW,2019-12-03,2019-03-18,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
508,EGPCPW,2019-12-03,2019-03-18,EGPC,224,PW,,
509,FOB MED  USDC.UGLPW,2019-12-03,2019-03-18,FOB MED  USDC.UGL,188.92,PW,,
510,HNWE  USDC.UGLPW,2019-12-03,2019-03-18,HNWE  USDC.UGL,194.6,PW,,
511,HROTT  USDC.UGLPW,2019-12-03,2019-03-18,HROTT  USDC.UGL,193.16,PW,,
512,MOPAGPW,2019-12-03,2019-03-18,MOPAG,184.61,PW,,
513,CIF MED USDC.UGL1/2M,2019-03-16,2019-03-31,CIF MED USDC.UGL,195.75,1/2M,,
514,EGPC1/2M,2019-03-16,2019-03-31,EGPC,268.65,1/2M,,
515,FOB MED  USDC.UGL1/2M,2019-03-16,2019-03-31,FOB MED  USDC.UGL,188.54,1/2M,,
516,HNWE  USDC.UGL1/2M,2019-03-16,2019-03-31,HNWE  USDC.UGL,194.62,1/2M,,
517,LukOIL FOB MED1/2M,2019-03-16,2019-03-31,LukOIL FOB MED,622.6,1/2M,,
518,ARAB GULF FOB HIGH PRIORPW,2019-03-19,2019-03-25,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
519,EGPCPW,2019-03-19,2019-03-25,EGPC,224,PW,,
520,FOB MED  USDC.UGLPW,2019-03-19,2019-03-25,FOB MED  USDC.UGL,189.62,PW,,
521,HNWE  USDC.UGLPW,2019-03-19,2019-03-25,HNWE  USDC.UGL,194.81,PW,,
522,HROTT  USDC.UGLPW,2019-03-19,2019-03-25,HROTT  USDC.UGL,193.71,PW,,
523,MOPAGPW,2019-03-19,2019-03-25,MOPAG,184.61,PW,,
524,ARAB GULF FOB HIGH PRIORPW,2019-03-26,2019-01-04,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
525,EGPCPW,2019-03-26,2019-01-04,EGPC,223,PW,,
526,FOB MED  USDC.UGLPW,2019-03-26,2019-01-04,FOB MED  USDC.UGL,189.93,PW,,
527,HNWE  USDC.UGLPW,2019-03-26,2019-04-01,HNWE  USDC.UGL,195.68,PW,,
528,HNWE  USDC.UGLPW,2019-03-26,2019-01-04,HNWE  USDC.UGL,195.68,PW,,
529,HNWE  USDC.UGLPW,2019-03-26,2019-01-04,HNWE  USDC.UGL,194.81,PW,,
530,HROTT  USDC.UGLPW,2019-03-26,2019-01-04,HROTT  USDC.UGL,194.56,PW,,
531,MOPAGPW,2019-03-26,2019-01-04,MOPAG,185.55,PW,,
532,ARAB GULF FOB HIGH PRIORPM,2019-01-04,2019-04-30,ARAB GULF FOB HIGH PRIOR,185.4,PM,,
533,ARAB GULF FOB HIGH PRIORPM,2019-01-04,2019-04-30,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
534,CIF MED USDC.UGL1/2M,2019-01-04,2019-04-15,CIF MED USDC.UGL,194.86,1/2M,,
535,EGPC1/2M,2019-01-04,2019-04-15,EGPC,268.65,1/2M,,
536,FOB MED  USDC.UGL1/2M,2019-01-04,2019-04-15,FOB MED  USDC.UGL,187.83,1/2M,,
537,FOB MED  USDC.UGLPM,2019-01-04,2019-04-30,FOB MED  USDC.UGL,188.42,PM,,
538,HNWE  USDC.UGL1/2M,2019-01-04,2019-04-15,HNWE  USDC.UGL,194.62,1/2M,,
